message_id,customer_id,text,issue_type,frustration
M0258,C0043,I am ABSOLUTELY furious!! the return pickup was never scheduled. Fix this NOW or I'm leaving for good!,Refund_Return,High
M0291,C0092,"Hi there, the invoice amount is wrong. Please let me know.",Billing,Low
M0458,C0126,"Hi there, the payment page is not loading. Thank you.",App_Technical,Low
M0030,C0175,"Good morning, my shipment is stuck and not moving.",Delivery,Low
M0193,C0177,"Hello, the return pickup was never scheduled. Looking forward to your reply.",Refund_Return,Low
M0102,C0195,The item arrived broken. Appreciate it.,Damaged_Defective,Low
M0305,C0163,I was charged twice for the same order. Hoping for a quick resolution.,Billing,Medium
M0229,C0190,I want to return this item and get my money back. Please look into it.,Refund_Return,Medium
M0279,C0153,You billed me after I cancelled.,Billing,Low
M0299,C0207,"Hello Lulu, the amount deducted is more than the order total. Thanks for your help.",Billing,Low
M0275,C0057,My coupon was not applied at checkout.,Billing,Low
M0205,C0122,"Good morning, please refund me for the order I sent back. Please let me know.",Refund_Return,Low
M0430,C0113,This is the LAST straw. the material is low quality and wore out fast. I'm escalating this everywhere!,Product_Quality,High
M0453,C0195,"Good morning, I cannot log into my account on the app. Thanks for your help.",App_Technical,Low
M0596,C0173,This is frustrating — how can I change my registered phone number. I'd like this fixed.,General_Query,Medium
M0300,C0041,"Hi there, I see a payment I never authorized.",Billing,Low
M0082,C0110,I am done with Lulu! my order still has not arrived. Fix this NOW or I'm leaving for good!,Delivery,High
M0228,C0139,I'm a bit annoyed that please refund me for the order I sent back.,Refund_Return,Medium
M0110,C0023,"Hi team, there were parts missing and the unit is faulty. Please let me know.",Damaged_Defective,Low
M0249,C0030,This is outrageous!! the return pickup was never scheduled. Fix this NOW or I'm leaving for good!,Refund_Return,High
M0426,C0180,Completely unacceptable!! the product looks nothing like the description. I will never shop here again!,Product_Quality,High
M0064,C0188,Completely unacceptable!! my order still has not arrived. Sort it out or refund me!!,Delivery,High
M0548,C0177,"Hello, I have a question about my loyalty points. Appreciate it.",General_Query,Low
M0073,C0158,I am done with Lulu! my order still has not arrived. This is the third time — enough!!,Delivery,High
M0569,C0042,"Hi team, can you tell me the store timings. Kind regards.",General_Query,Low
M0285,C0085,I was charged twice for the same order. Thanks for your help.,Billing,Low
M0119,C0147,"Hi team, my phone stopped working on day one.",Damaged_Defective,Low
M0590,C0161,Do you deliver to my area.,General_Query,Medium
M0292,C0156,"Hi team, you billed me after I cancelled.",Billing,Low
M0381,C0089,"Good morning, the item works but the build quality is bad.",Product_Quality,Low
M0213,C0136,I am still waiting for the refund you promised. This needs attention.,Refund_Return,Medium
M0141,C0036,The package was crushed and the item dented. Please look into it.,Damaged_Defective,Medium
M0389,C0039,The speaker feels cheap and not worth the price. Appreciate it.,Product_Quality,Low
M0323,C0025,It's bothering me that you billed me after I cancelled.,Billing,Medium
M0219,C0141,I'm unhappy because the return pickup was never scheduled. Kindly resolve.,Refund_Return,Medium
M0463,C0138,"Hello Lulu, the website freezes when I add items to cart.",App_Technical,Low
M0512,C0160,I have HAD enough — the website freezes when I add items to cart. Sort it out or refund me!!,App_Technical,High
M0336,C0150,Completely unacceptable!! there is an extra charge on my bill I do not understand. I'm escalating this everywhere!,Billing,High
M0007,C0198,"Good morning, the delivery is late again. Please let me know.",Delivery,Low
M0105,C0175,"Hello, the item arrived broken. Please let me know.",Damaged_Defective,Low
M0115,C0093,There were parts missing and the unit is faulty.,Damaged_Defective,Low
M0534,C0187,This is the LAST straw. I cannot track my order in the app. Fix this NOW or I'm leaving for good!,App_Technical,High
M0185,C0117,I want to return this item and get my money back. Please let me know.,Refund_Return,Low
M0239,C0153,How do I send this back for a refund. I'd like this fixed.,Refund_Return,Medium
M0517,C0070,This is outrageous!! the search on the app is not working. This is the third time — enough!!,App_Technical,High
M0437,C0216,This is the LAST straw. this is not the quality I expected from Lulu. I want this resolved immediately!!,Product_Quality,High
M0341,C0124,I have HAD enough — the amount deducted is more than the order total. This is the third time — enough!!,Billing,High
M0424,C0035,I am ABSOLUTELY furious!! the item works but the build quality is bad. I want this resolved immediately!!,Product_Quality,High
M0303,C0133,I was charged twice for the same order. Hoping for a quick resolution.,Billing,Medium
M0564,C0117,"Good morning, can you tell me the store timings. Kind regards.",General_Query,Low
M0396,C0200,It's bothering me that the product looks nothing like the description.,Product_Quality,Medium
M0297,C0151,"Hello, the invoice amount is wrong. Please let me know.",Billing,Low
M0486,C0092,The app shows an error every time I open it.,App_Technical,Medium
M0043,C0092,This is frustrating — the delivery is late again. This needs attention.,Delivery,Medium
M0074,C0111,This is outrageous!! the courier never showed up. Fix this NOW or I'm leaving for good!,Delivery,High
M0546,C0048,"Hi team, do you deliver to my area.",General_Query,Low
M0067,C0167,Completely unacceptable!! my order still has not arrived. This is the third time — enough!!,Delivery,High
M0012,C0072,"Good morning, the courier never showed up.",Delivery,Low
M0602,C0097,I am ABSOLUTELY furious!! how can I change my registered phone number. I will never shop here again!,General_Query,High
M0593,C0018,I'm unhappy because I just wanted to ask about your return policy. I'd like this fixed.,General_Query,Medium
M0421,C0176,I have HAD enough — the product looks nothing like the description. I'm escalating this everywhere!,Product_Quality,High
M0400,C0042,It's bothering me that the product looks nothing like the description.,Product_Quality,Medium
M0357,C0218,I am ABSOLUTELY furious!! my coupon was not applied at checkout. I want this resolved immediately!!,Billing,High
M0084,C0025,Completely unacceptable!! my shipment is stuck and not moving. I want this resolved immediately!!,Delivery,High
M0288,C0207,The amount deducted is more than the order total. Kind regards.,Billing,Low
M0370,C0098,"Hello Lulu, the watch quality has gone down compared to before. Thanks for your help.",Product_Quality,Low
M0080,C0101,I am ABSOLUTELY furious!! the delivery is late again. Fix this NOW or I'm leaving for good!,Delivery,High
M0024,C0025,"Good morning, my order still has not arrived. Thank you.",Delivery,Low
M0584,C0157,It's bothering me that how do I add an address to my account. Please look into it.,General_Query,Medium
M0311,C0155,The invoice amount is wrong.,Billing,Medium
M0589,C0060,Not happy that do you deliver to my area. Please look into it.,General_Query,Medium
M0197,C0126,"Good morning, please refund me for the order I sent back.",Refund_Return,Low
M0482,C0102,I'm unhappy because the app shows an error every time I open it. Hoping for a quick resolution.,App_Technical,Medium
M0260,C0172,I am ABSOLUTELY furious!! I am still waiting for the refund you promised. I want this resolved immediately!!,Refund_Return,High
M0138,C0218,I'm disappointed that there were parts missing and the unit is faulty. Hoping for a quick resolution.,Damaged_Defective,Medium
M0232,C0004,Not happy that how do I send this back for a refund. Kindly resolve.,Refund_Return,Medium
M0306,C0045,I'm disappointed that you billed me after I cancelled. Kindly resolve.,Billing,Medium
M0178,C0020,I am ABSOLUTELY furious!! the product was damaged in the box. This is the third time — enough!!,Damaged_Defective,High
M0010,C0169,"Hi there, nobody delivered my order today as promised.",Delivery,Low
M0204,C0058,"Good morning, I am still waiting for the refund you promised.",Refund_Return,Low
M0514,C0150,I am ABSOLUTELY furious!! I cannot track my order in the app. Sort it out or refund me!!,App_Technical,High
M0329,C0123,You billed me after I cancelled.,Billing,Medium
M0616,C0010,This is the LAST straw. can you tell me the store timings. I'm escalating this everywhere!,General_Query,High
M0272,C0012,The invoice amount is wrong. Kind regards.,Billing,Low
M0085,C0164,This is the LAST straw. my order still has not arrived. I want this resolved immediately!!,Delivery,High
M0182,C0218,"Hi there, please refund me for the order I sent back.",Refund_Return,Low
M0347,C0158,I am done with Lulu! you billed me after I cancelled. This is the third time — enough!!,Billing,High
M0447,C0014,This is the LAST straw. the material is low quality and wore out fast. I will never shop here again!,Product_Quality,High
M0519,C0070,Completely unacceptable!! the app keeps crashing when I try to checkout. I'm escalating this everywhere!,App_Technical,High
M0504,C0198,This is frustrating — the website freezes when I add items to cart. Hoping for a quick resolution.,App_Technical,Medium
M0250,C0062,I am done with Lulu! I am still waiting for the refund you promised. Sort it out or refund me!!,Refund_Return,High
M0179,C0060,I am done with Lulu! the phone is defective and will not switch on. I'm escalating this everywhere!,Damaged_Defective,High
M0221,C0173,This is frustrating — my refund has not been processed yet. This needs attention.,Refund_Return,Medium
M0154,C0208,This is the LAST straw. there were parts missing and the unit is faulty. I want this resolved immediately!!,Damaged_Defective,High
M0076,C0085,I am ABSOLUTELY furious!! the delivery is late again. Fix this NOW or I'm leaving for good!,Delivery,High
M0093,C0142,"Hello Lulu, there were parts missing and the unit is faulty. Thank you.",Damaged_Defective,Low
M0500,C0051,I'm unhappy because the search on the app is not working. I'd like this fixed.,App_Technical,Medium
M0069,C0076,I am ABSOLUTELY furious!! the courier never showed up. Fix this NOW or I'm leaving for good!,Delivery,High
M0016,C0206,"Hello, the delivery is late again. Please let me know.",Delivery,Low
M0200,C0081,How do I send this back for a refund. Thank you.,Refund_Return,Low
M0574,C0114,This is frustrating — can you tell me the store timings. This needs attention.,General_Query,Medium
M0089,C0048,I have HAD enough — the delivery date keeps getting pushed. Sort it out or refund me!!,Delivery,High
M0527,C0101,I am done with Lulu! the website freezes when I add items to cart. Sort it out or refund me!!,App_Technical,High
M0118,C0215,"Good morning, the product was damaged in the box. Kind regards.",Damaged_Defective,Low
M0425,C0117,I am ABSOLUTELY furious!! the material is low quality and wore out fast. I'm escalating this everywhere!,Product_Quality,High
M0451,C0177,"Hello, the payment page is not loading. Thanks for your help.",App_Technical,Low
M0034,C0205,Not happy that I have been waiting for my package for days. I'd like this fixed.,Delivery,Medium
M0001,C0083,"Hello Lulu, my order still has not arrived. Looking forward to your reply.",Delivery,Low
M0623,C0050,I am done with Lulu! can you tell me the store timings. I want this resolved immediately!!,General_Query,High
M0209,C0066,"Hello, how do I send this back for a refund. Looking forward to your reply.",Refund_Return,Low
M0382,C0133,"Hi there, this is not the quality I expected from Lulu.",Product_Quality,Low
M0579,C0170,I just wanted to ask about your return policy. I'd like this fixed.,General_Query,Medium
M0523,C0153,I am done with Lulu! the app keeps crashing when I try to checkout. Sort it out or refund me!!,App_Technical,High
M0278,C0142,"Hi there, you billed me after I cancelled. Looking forward to your reply.",Billing,Low
M0023,C0045,"Hello Lulu, the courier never showed up. Thanks for your help.",Delivery,Low
M0612,C0049,I have HAD enough — is this product available in the Dubai store. I want this resolved immediately!!,General_Query,High
M0117,C0115,The item arrived broken. Thanks for your help.,Damaged_Defective,Low
M0090,C0048,Completely unacceptable!! I have been waiting for my package for days. I will never shop here again!,Delivery,High
M0183,C0044,"Hi, please refund me for the order I sent back. Thanks for your help.",Refund_Return,Low
M0251,C0063,I have HAD enough — I am still waiting for the refund you promised. This is the third time — enough!!,Refund_Return,High
M0261,C0109,This is the LAST straw. I am still waiting for the refund you promised. I'm escalating this everywhere!,Refund_Return,High
M0019,C0138,"Hello, my order still has not arrived. Thank you.",Delivery,Low
M0335,C0028,Completely unacceptable!! the amount deducted is more than the order total. I will never shop here again!,Billing,High
M0355,C0015,This is outrageous!! the amount deducted is more than the order total. This is the third time — enough!!,Billing,High
M0145,C0196,This is frustrating — there were parts missing and the unit is faulty. This needs attention.,Damaged_Defective,Medium
M0312,C0185,The invoice amount is wrong. Kindly resolve.,Billing,Medium
M0313,C0042,Not happy that I was charged twice for the same order.,Billing,Medium
M0595,C0008,I'm disappointed that do you deliver to my area. Hoping for a quick resolution.,General_Query,Medium
M0399,C0162,This is frustrating — the item works but the build quality is bad. Kindly resolve.,Product_Quality,Medium
M0586,C0181,I'm unhappy because is this product available in the Dubai store. Kindly resolve.,General_Query,Medium
M0444,C0187,This is the LAST straw. the material is low quality and wore out fast. I'm escalating this everywhere!,Product_Quality,High
M0375,C0068,The headphones quality has gone down compared to before. Looking forward to your reply.,Product_Quality,Low
M0445,C0134,This is outrageous!! the quality of this product is poor. This is the third time — enough!!,Product_Quality,High
M0168,C0185,I am ABSOLUTELY furious!! the screen was cracked when I opened it. This is the third time — enough!!,Damaged_Defective,High
M0055,C0001,I'm unhappy because I have been waiting for my package for days.,Delivery,Medium
M0443,C0080,Completely unacceptable!! the watch feels cheap and not worth the price. I'm escalating this everywhere!,Product_Quality,High
M0047,C0158,This is frustrating — my shipment is stuck and not moving.,Delivery,Medium
M0094,C0122,"Good morning, the item arrived broken. Kind regards.",Damaged_Defective,Low
M0293,C0188,"Hi team, I was charged twice for the same order.",Billing,Low
M0429,C0073,This is the LAST straw. the quality of this product is poor. Fix this NOW or I'm leaving for good!,Product_Quality,High
M0109,C0199,"Hello, the item arrived broken. Appreciate it.",Damaged_Defective,Low
M0302,C0060,The invoice amount is wrong. Hoping for a quick resolution.,Billing,Medium
M0196,C0130,The return pickup was never scheduled. Thanks for your help.,Refund_Return,Low
M0630,C0147,This is outrageous!! can you tell me the store timings. I will never shop here again!,General_Query,High
M0522,C0182,Completely unacceptable!! I cannot log into my account on the app. This is the third time — enough!!,App_Technical,High
M0487,C0060,This is frustrating — I cannot log into my account on the app. Hoping for a quick resolution.,App_Technical,Medium
M0236,C0045,Not happy that I returned the product but no refund came.,Refund_Return,Medium
M0576,C0048,I'm unhappy because I have a question about my loyalty points.,General_Query,Medium
M0423,C0049,I am done with Lulu! the product looks nothing like the description. Sort it out or refund me!!,Product_Quality,High
M0008,C0063,"Hello, nobody delivered my order today as promised. Looking forward to your reply.",Delivery,Low
M0577,C0009,I'm a bit annoyed that can you tell me the store timings.,General_Query,Medium
M0439,C0099,This is outrageous!! the item works but the build quality is bad. I want this resolved immediately!!,Product_Quality,High
M0410,C0070,Not happy that the item works but the build quality is bad. Please look into it.,Product_Quality,Medium
M0235,C0050,It's bothering me that the return pickup was never scheduled. Kindly resolve.,Refund_Return,Medium
M0605,C0220,I am done with Lulu! I just wanted to ask about your return policy. I'm escalating this everywhere!,General_Query,High
M0516,C0052,I am ABSOLUTELY furious!! I cannot log into my account on the app. I will never shop here again!,App_Technical,High
M0070,C0027,I am done with Lulu! my order still has not arrived. I will never shop here again!,Delivery,High
M0560,C0157,"Hi team, is this product available in the Dubai store. Please let me know.",General_Query,Low
M0449,C0043,I am done with Lulu! the speaker feels cheap and not worth the price. Fix this NOW or I'm leaving for good!,Product_Quality,High
M0491,C0021,I'm disappointed that I cannot track my order in the app. Please sort this out soon.,App_Technical,Medium
M0497,C0202,The app shows an error every time I open it. This needs attention.,App_Technical,Medium
M0376,C0200,"Hello, the headphones feels cheap and not worth the price. Appreciate it.",Product_Quality,Low
M0320,C0043,It's bothering me that you billed me after I cancelled. I'd like this fixed.,Billing,Medium
M0150,C0012,It's bothering me that the screen was cracked when I opened it.,Damaged_Defective,Medium
M0125,C0150,I'm disappointed that the screen was cracked when I opened it. Kindly resolve.,Damaged_Defective,Medium
M0568,C0197,"Hello Lulu, I have a question about my loyalty points. Appreciate it.",General_Query,Low
M0541,C0135,"Hello, do you deliver to my area. Appreciate it.",General_Query,Low
M0186,C0167,"Good morning, I returned the product but no refund came. Looking forward to your reply.",Refund_Return,Low
M0544,C0106,How do I add an address to my account. Looking forward to your reply.,General_Query,Low
M0322,C0134,There is an extra charge on my bill I do not understand.,Billing,Medium
M0621,C0080,This is outrageous!! how can I change my registered phone number. I'm escalating this everywhere!,General_Query,High
M0580,C0117,I'm unhappy because do you deliver to my area. This needs attention.,General_Query,Medium
M0506,C0052,The app shows an error every time I open it. Please look into it.,App_Technical,Medium
M0142,C0118,I'm disappointed that the product was damaged in the box. Please look into it.,Damaged_Defective,Medium
M0321,C0018,I'm unhappy because the invoice amount is wrong. Hoping for a quick resolution.,Billing,Medium
M0020,C0031,"Hello, I have been waiting for my package for days. Thank you.",Delivery,Low
M0173,C0011,I am done with Lulu! the screen was cracked when I opened it. I want this resolved immediately!!,Damaged_Defective,High
M0520,C0028,This is outrageous!! I cannot track my order in the app. I will never shop here again!,App_Technical,High
M0502,C0083,The app shows an error every time I open it. I'd like this fixed.,App_Technical,Medium
M0026,C0162,"Hello, the delivery is late again. Appreciate it.",Delivery,Low
M0417,C0075,This is not the quality I expected from Lulu. Hoping for a quick resolution.,Product_Quality,Medium
M0494,C0082,I cannot track my order in the app. Please look into it.,App_Technical,Medium
M0427,C0083,Completely unacceptable!! the product looks nothing like the description. I want this resolved immediately!!,Product_Quality,High
M0328,C0195,Not happy that my coupon was not applied at checkout. Hoping for a quick resolution.,Billing,Medium
M0246,C0170,This is the LAST straw. I returned the product but no refund came. I want this resolved immediately!!,Refund_Return,High
M0350,C0121,I am ABSOLUTELY furious!! you billed me after I cancelled. I want this resolved immediately!!,Billing,High
M0273,C0202,"Hi, the invoice amount is wrong.",Billing,Low
M0155,C0058,I am ABSOLUTELY furious!! the screen was cracked when I opened it. I want this resolved immediately!!,Damaged_Defective,High
M0127,C0071,My laptop stopped working on day one.,Damaged_Defective,Medium
M0551,C0004,Can you tell me the store timings. Appreciate it.,General_Query,Low
M0114,C0052,The package was crushed and the item dented. Thanks for your help.,Damaged_Defective,Low
M0535,C0157,I have HAD enough — the payment page is not loading. I'm escalating this everywhere!,App_Technical,High
M0174,C0177,Completely unacceptable!! the package was crushed and the item dented. I want this resolved immediately!!,Damaged_Defective,High
M0058,C0085,The delivery is late again. This needs attention.,Delivery,Medium
M0356,C0127,This is the LAST straw. you billed me after I cancelled. I'm escalating this everywhere!,Billing,High
M0223,C0144,I'm unhappy because I am still waiting for the refund you promised. Hoping for a quick resolution.,Refund_Return,Medium
M0281,C0218,The invoice amount is wrong. Please let me know.,Billing,Low
M0018,C0040,"Hello, my order still has not arrived. Appreciate it.",Delivery,Low
M0330,C0105,This is frustrating — you billed me after I cancelled. Please sort this out soon.,Billing,Medium
M0256,C0012,Completely unacceptable!! the return pickup was never scheduled. Sort it out or refund me!!,Refund_Return,High
M0337,C0109,I am done with Lulu! the amount deducted is more than the order total. This is the third time — enough!!,Billing,High
M0603,C0147,I have HAD enough — do you deliver to my area. I want this resolved immediately!!,General_Query,High
M0191,C0081,I want to return this item and get my money back. Thank you.,Refund_Return,Low
M0353,C0099,I am ABSOLUTELY furious!! I see a payment I never authorized. I'm escalating this everywhere!,Billing,High
M0552,C0194,"Good morning, how do I add an address to my account. Appreciate it.",General_Query,Low
M0301,C0189,It's bothering me that there is an extra charge on my bill I do not understand. This needs attention.,Billing,Medium
M0095,C0219,"Hello, the package was crushed and the item dented. Thank you.",Damaged_Defective,Low
M0181,C0093,"Hi, I want to return this item and get my money back. Appreciate it.",Refund_Return,Low
M0409,C0084,The item works but the build quality is bad. Please sort this out soon.,Product_Quality,Medium
M0366,C0144,The product looks nothing like the description. Please let me know.,Product_Quality,Low
M0363,C0141,"Hi, the product looks nothing like the description. Looking forward to your reply.",Product_Quality,Low
M0345,C0042,Completely unacceptable!! there is an extra charge on my bill I do not understand. I'm escalating this everywhere!,Billing,High
M0006,C0160,"Hello, I have been waiting for my package for days. Please let me know.",Delivery,Low
M0046,C0060,I'm disappointed that my shipment is stuck and not moving.,Delivery,Medium
M0408,C0135,I'm unhappy because the headphones feels cheap and not worth the price.,Product_Quality,Medium
M0432,C0088,Completely unacceptable!! the quality of this product is poor. I want this resolved immediately!!,Product_Quality,High
M0422,C0191,I am done with Lulu! the material is low quality and wore out fast. I'm escalating this everywhere!,Product_Quality,High
M0017,C0060,"Hi there, the courier never showed up. Looking forward to your reply.",Delivery,Low
M0049,C0037,Nobody delivered my order today as promised. Please sort this out soon.,Delivery,Medium
M0609,C0029,I am done with Lulu! I have a question about my loyalty points. I want this resolved immediately!!,General_Query,High
M0575,C0072,I just wanted to ask about your return policy. This needs attention.,General_Query,Medium
M0004,C0120,"Hello Lulu, nobody delivered my order today as promised.",Delivery,Low
M0361,C0023,"Hi team, the TV quality has gone down compared to before. Appreciate it.",Product_Quality,Low
M0333,C0097,I have HAD enough — I was charged twice for the same order. Fix this NOW or I'm leaving for good!,Billing,High
M0489,C0125,I'm a bit annoyed that I cannot track my order in the app. Kindly resolve.,App_Technical,Medium
M0412,C0145,It's bothering me that the product looks nothing like the description. Please look into it.,Product_Quality,Medium
